date,time,commits,day_count,avg_commits
Sunday,12AM,0,0,0.0
Sunday,1AM,1,5,0.2
Sunday,2AM,0,0,0.0
Sunday,3AM,0,0,0.0
Sunday,4AM,0,0,0.0
Sunday,5AM,0,0,0.0
Sunday,6AM,0,0,0.0
Sunday,7AM,0,0,0.0
Sunday,8AM,0,0,0.0
Sunday,9AM,0,0,0.0
Sunday,10AM,0,0,0.0
Sunday,11AM,0,0,0.0
Sunday,12PM,0,0,0.0
Sunday,1PM,0,0,0.0
Sunday,2PM,0,0,0.0
Sunday,3PM,0,0,0.0
Sunday,4PM,0,0,0.0
Sunday,5PM,0,0,0.0
Sunday,6PM,1,5,0.2
Sunday,6PM,2,5,0.4
Sunday,7PM,0,0,0.0
Sunday,8PM,0,0,0.0
Sunday,9PM,0,0,0.0
Sunday,10PM,0,0,0.0
Sunday,11PM,1,5,0.2
Monday,12AM,0,0,0.0
Monday,1AM,0,0,0.0
Monday,2AM,0,0,0.0
Monday,3AM,6,5,1.2
Monday,4AM,0,0,0.0
Monday,5AM,0,0,0.0
Monday,6AM,0,0,0.0
Monday,7AM,0,0,0.0
Monday,8AM,1,5,0.2
Monday,9AM,2,5,0.4
Monday,9AM,1,5,0.2
Monday,10AM,1,5,0.2
Monday,11AM,2,5,0.4
Monday,12PM,2,5,0.4
Monday,12PM,1,5,0.2
Monday,1PM,3,5,0.6
Monday,1PM,1,5,0.2
Monday,2PM,4,5,0.8
Monday,2PM,2,5,0.4
Monday,3PM,2,5,0.4
Monday,4PM,2,5,0.4
Monday,5PM,1,5,0.2
Monday,6PM,0,0,0.0
Monday,7PM,0,0,0.0
Monday,8PM,0,0,0.0
Monday,9PM,0,0,0.0
Monday,10PM,1,5,0.2
Monday,11PM,0,0,0.0
Tuesday,12AM,0,0,0.0
Tuesday,1AM,0,0,0.0
Tuesday,2AM,0,0,0.0
Tuesday,3AM,0,0,0.0
Tuesday,4AM,0,0,0.0
Tuesday,5AM,0,0,0.0
Tuesday,6AM,0,0,0.0
Tuesday,7AM,0,0,0.0
Tuesday,8AM,0,0,0.0
Tuesday,9AM,1,6,0.16666666666666666
Tuesday,10AM,0,0,0.0
Tuesday,11AM,1,6,0.16666666666666666
Tuesday,12PM,2,6,0.3333333333333333
Tuesday,1PM,1,6,0.16666666666666666
Tuesday,1PM,1,6,0.16666666666666666
Tuesday,2PM,3,6,0.5
Tuesday,2PM,1,6,0.16666666666666666
Tuesday,2PM,2,6,0.3333333333333333
Tuesday,3PM,1,6,0.16666666666666666
Tuesday,3PM,2,6,0.3333333333333333
Tuesday,3PM,1,6,0.16666666666666666
Tuesday,3PM,1,6,0.16666666666666666
Tuesday,3PM,2,6,0.3333333333333333
Tuesday,3PM,1,6,0.16666666666666666
Tuesday,4PM,2,6,0.3333333333333333
Tuesday,4PM,2,6,0.3333333333333333
Tuesday,5PM,0,0,0.0
Tuesday,6PM,0,0,0.0
Tuesday,7PM,0,0,0.0
Tuesday,8PM,0,0,0.0
Tuesday,9PM,0,0,0.0
Tuesday,10PM,0,0,0.0
Tuesday,11PM,1,6,0.16666666666666666
Wednesday,12AM,2,6,0.3333333333333333
Wednesday,1AM,0,0,0.0
Wednesday,2AM,0,0,0.0
Wednesday,3AM,0,0,0.0
Wednesday,4AM,0,0,0.0
Wednesday,5AM,0,0,0.0
Wednesday,6AM,0,0,0.0
Wednesday,7AM,0,0,0.0
Wednesday,8AM,0,0,0.0
Wednesday,9AM,0,0,0.0
Wednesday,10AM,3,6,0.5
Wednesday,10AM,1,6,0.16666666666666666
Wednesday,11AM,2,6,0.3333333333333333
Wednesday,11AM,2,6,0.3333333333333333
Wednesday,12PM,2,6,0.3333333333333333
Wednesday,12PM,1,6,0.16666666666666666
Wednesday,12PM,1,6,0.16666666666666666
Wednesday,1PM,1,6,0.16666666666666666
Wednesday,2PM,3,6,0.5
Wednesday,2PM,1,6,0.16666666666666666
Wednesday,3PM,3,6,0.5
